country,year,gov_exp,date,trade,growth,inf,inv_share,exp,_merge,code,income_cat
Guatemala,1990,,1990-01-01,45.8694854703458,3.10256317557587,41.2218671380973,10.3738878263408,9.1312650775244,both,GTM,LM
Guinea,1990,18.71717188,1990-01-01,44.2481030022452,4.3240627548313,,6.67448481167946,7.8970300889813,both,GIN,L
Guinea-Bissau,1990,,1990-01-01,46.970502719062,6.09999998628119,33.0019778318026,,,both,GNB,L
Guyana,1990,,1990-01-01,142.566230803686,-3.06748466406728,,14.4270672618092,,both,GUY,L
Haiti,1990,,1990-01-01,46.4148543201609,1.03812280198248,21.2760320067832,,,both,HTI,L
Honduras,1990,16.60820007,1990-01-01,71.0080682830329,2.7917489495977,23.3225664366467,,,both,HND,L
"Hong Kong SAR, China",1990,13.83881529,1990-01-01,226.000240297969,3.83055978129279,10.4265402843602,22.8251365025966,,both,HKG,H
Hungary,1990,,1990-01-01,,-3.49665976181716,28.3695996532777,,48.8376161817774,both,HUN,UM
Iceland,1990,42.58144368,1990-01-01,65.110850561994,1.16937033489131,15.510721994253,,29.4220608605741,both,ISL,H
India,1990,25.37149754,1990-01-01,15.5062615101965,5.53345456125301,8.9712325027325,,15.4842170785554,both,IND,L
Indonesia,1990,15.84080029,1990-01-01,52.8918614376893,7.24213163856464,7.81919144730547,,12.7210409964969,both,IDN,L
"Iran, Islamic Rep.",1990,20.00288761,1990-01-01,37.0805676988109,13.5949264435839,7.62767493763934,,14.6672996347702,both,IRN,LM
Ireland,1990,42.80889893,1990-01-01,105.029447108304,8.46652815560284,3.31732886680118,,35.7420554142964,both,IRL,H
Israel,1990,46.79090118,1990-01-01,61.3201667611255,7.31519904715398,17.1858952413557,,42.2289195601743,both,ISR,H
Italy,1990,52.86059952,1990-01-01,36.2382276733087,1.98577490909442,6.456609061464,,43.1435311988436,both,ITA,H
Jamaica,1990,23.17964568,1990-01-01,99.9401719360276,4.2005351147029,21.9601751165083,21.158794571572,22.6428561666032,both,JAM,LM
Japan,1990,29.36090069,1990-01-01,19.3357137329228,4.84092905745234,3.0785162869516,,13.846234221868,both,JPN,H
Jordan,1990,43.965321,1990-01-01,149.4476838941,-0.275903907591925,16.1921375615233,,29.6896164572091,both,JOR,LM
Kenya,1990,17.18270359,1990-01-01,57.0209136817269,4.19205097155167,17.78181442992,,,both,KEN,L
Kiribati,1990,89.69608349,1990-01-01,151.071702815406,-6.38533433567764,,,,both,KIR,LM
"Korea, Rep.",1990,15.15289974,1990-01-01,50.7503133784944,9.8775525016936,8.57327225728677,32.0718581624502,13.2596249829225,both,KOR,UM
Kuwait,1990,92.31067389,1990-01-01,103.011000150739,-26.2288925207873,9.83363531543402,,48.0479348809165,both,KWT,H
Kyrgyz Republic,1990,,1990-01-01,78.7383177570093,5.70279663301396,,,,both,KGZ,
Latvia,1990,,1990-01-01,,,,,,both,LVA,
Lebanon,1990,39.97931318,1990-01-01,117.905808025004,26.5331600932491,,30.6547229362514,,both,LBN,LM
Lesotho,1990,32.94551302,1990-01-01,,6.04547332978933,11.6347569955818,,,both,LSO,L
Luxembourg,1990,,1990-01-01,187.811167101457,5.31993112733795,3.25376659083639,,30.1789371472223,both,LUX,H
Madagascar,1990,13.34573643,1990-01-01,32.3809923743425,3.12890505042525,11.7844838321357,31.0861905205108,,both,MDG,L
Malaysia,1990,30.52454428,1990-01-01,146.888252533989,9.00852713774628,2.61780104712051,21.888462475122,,both,MYS,LM
Maldives,1990,33.32807559,1990-01-01,,16.952297454562,3.64991197717477,,16.5912078282459,both,MDV,L
Marshall Islands,1990,,1990-01-01,,2.67624654001773,,,,both,MHL,
Mexico,1990,16.56629944,1990-01-01,38.5196964133297,5.25004329944582,26.6516725646771,13.6809910245365,16.9185752446421,both,MEX,UM
"Micronesia, Fed. Sts.",1990,,1990-01-01,,3.74092685650476,,,,both,FSM,
Moldova,1990,,1990-01-01,,,,,,both,MDA,
Mongolia,1990,,1990-01-01,58.6218949695306,-3.18446017825207,,,,both,MNG,LM
Morocco,1990,22.58724764,1990-01-01,54.6266874206198,3.41181222630115,6.78259401511006,,16.4821795671491,both,MAR,LM
Mozambique,1990,20.9646897,1990-01-01,,0.999992834277037,,,,both,MOZ,L
Myanmar,1990,,1990-01-01,,2.81693327328911,17.6267750314504,,,both,MMR,L
Namibia,1990,30.22619883,1990-01-01,93.7592455854003,2.04745993989432,,,,both,NAM,LM
Netherlands,1990,54.91230011,1990-01-01,104.115680713624,4.18322288051644,2.45409184818341,,45.32571977312,both,NLD,H
New Zealand,1990,49.54014568,1990-01-01,52.6081416580188,0.153130944080715,6.09844414810204,,,both,NZL,H
Nicaragua,1990,28.21509933,1990-01-01,71.2908140830956,-0.0524997212688305,,,65.2271170148582,both,NIC,LM
Niger,1990,,1990-01-01,35.6167735553299,-1.30847828481959,-0.775653010977466,5.5614464349241,,both,NER,L
Nigeria,1990,19.96676716,1990-01-01,,11.7768859342069,7.36440030557692,,,both,NGA,L
North Macedonia,1990,,1990-01-01,58.687030075188,,,,,both,MKD,
Norway,1990,53.31079865,1990-01-01,71.3870970753246,1.93229132787364,4.1310334831135,,38.094793568408,both,NOR,H
Oman,1990,36.50863284,1990-01-01,61.2372503810231,-0.130425738129333,,4.42377584118176,,both,OMN,UM
Pakistan,1990,23.92160034,1990-01-01,35.034575900498,4.45858681510218,9.05213155279776,13.9191511584299,,both,PAK,L
Panama,1990,41.46049881,1990-01-01,121.793552873367,8.09899300707535,0.769485354956023,6.67888256187823,,both,PAN,LM
Papua New Guinea,1990,,1990-01-01,89.5715493140888,-3.01216922181256,6.9533615990307,20.0019537091216,31.1517456602302,both,PNG,LM
Paraguay,1990,9.933771709,1990-01-01,91.3083408020561,4.12328287941739,37.2599561799201,,,both,PRY,LM
Peru,1990,20.35697937,1990-01-01,29.469676899683,-4.98256353646605,7481.66361124526,,19.4571009482427,both,PER,LM
Philippines,1990,18.81050556,1990-01-01,42.922356288058,3.08267252855887,12.1773522064946,,14.7071985556123,both,PHL,LM
Poland,1990,,1990-01-01,,,567.878800666191,,,both,POL,LM
Portugal,1990,38.50389862,1990-01-01,65.0555926306887,3.95052316879996,13.6305705693074,,32.3222997365854,both,PRT,UM
Qatar,1990,,1990-01-01,,3.41446208226637,3.0009680542111,,,both,QAT,H
Romania,1990,,1990-01-01,42.9070987294556,,,,33.3442126121926,both,ROU,LM
Russian Federation,1990,,1990-01-01,36.1067991307048,-2.99999564243126,,,,both,RUS,
Rwanda,1990,,1990-01-01,19.6841588743296,-2.39929109760386,4.18576372649948,8.72243711862821,12.6646089979756,both,RWA,L
Saint Kitts and Nevis,1990,19.30875521,,,,,,,left_only,,
Saint Lucia,1990,16.49721845,,,,,,,left_only,,
Saint Vincent and the Grenadines,1990,23.6584107,,,,,,,left_only,,
Saudi Arabia,1990,,1990-01-01,71.7080755916236,9.42609746032747,2.07715133531159,13.8348561375631,,both,SAU,UM
Senegal,1990,,1990-01-01,44.7892639604104,-0.746282224252312,0.325098630183258,11.1315727318248,,both,SEN,LM
Seychelles,1990,46.06273194,1990-01-01,62.5764814210132,7.45476632743625,3.88888888888912,7.99795289464009,,both,SYC,UM
Slovak Republic,1990,,1990-01-01,56.466265712049,,,,,both,SVK,
Slovenia,1990,,1990-01-01,139.573592304258,,552.083528914325,,,both,SVN,
Solomon Islands,1990,,1990-01-01,142.442017969002,2.19999999881691,8.73759261848181,,,both,SLB,L
South Africa,1990,28.70219994,1990-01-01,38.2118009241798,-0.317760426540374,14.320955727722,14.2695943604792,25.4039070668789,both,ZAF,UM
Spain,1990,32.75120163,1990-01-01,35.652904977259,3.7813934838417,6.72181952228657,,29.3535492279672,both,ESP,H
Sri Lanka,1990,25.35264482,1990-01-01,68.243915172911,6.39999531084838,21.495252052759,17.9965442657186,24.6360912910524,both,LKA,L
Sudan,1990,30.96500862,1990-01-01,11.0908904749794,-5.47005377383857,65.1580979966203,,,both,SDN,L
Suriname,1990,22.67172683,1990-01-01,,-4.49999999759301,21.7399443397526,,,both,SUR,UM
Sweden,1990,37.95822525,1990-01-01,55.9048535341563,0.754674760966182,10.3665533879493,,35.2245335626687,both,SWE,H
Switzerland,1990,30.30330086,1990-01-01,82.5088186848906,3.67462559317617,5.4039590921894,,14.0359260685729,both,CHE,H
Tajikistan,1990,,1990-01-01,,-0.59999963133663,,,,both,TJK,
Tanzania,1990,,1990-01-01,34.4836065795064,7.04507164205259,35.8267716535433,10.5407379930669,,both,TZA,L
Thailand,1990,16.55879974,1990-01-01,75.7823643645399,11.1671634446293,5.86399474375828,34.2424836692386,11.7777744148162,both,THA,LM
Togo,1990,16.84685729,1990-01-01,59.7664883098492,-0.243656134474705,1.01534150530809,,,both,TGO,L
Trinidad and Tobago,1990,27.87824906,1990-01-01,,1.50916784295177,11.0644257703083,,,both,TTO,UM
Tunisia,1990,,1990-01-01,94.161265567647,7.94981943665461,6.54529307282414,15.6263644516767,30.4122710504174,both,TUN,LM
Turkiye,1990,14.06699371,1990-01-01,30.9429955004348,9.26614667149323,60.3038691346446,15.6177857742911,15.2956468245831,both,,
Uganda,1990,,1990-01-01,26.6095437605897,6.47414015255596,,6.46725015573358,,both,UGA,L
Ukraine,1990,,1990-01-01,56.4071856287425,-6.34523512831163,,,,both,UKR,
United Arab Emirates,1990,,1990-01-01,,18.3279855336306,,,,both,ARE,H
United Kingdom,1990,41.10829926,1990-01-01,48.2329411879358,0.733755483704996,8.06346090938833,,32.583043271347,both,GBR,H
United States,1990,37.20050049,1990-01-01,19.8150673537315,1.8859655853434,5.39795643990325,,21.5589293164814,both,USA,H
Uruguay,1990,21.1406002,1990-01-01,41.6284721190914,0.297348378681562,112.525905573023,9.34659346138281,21.9130325715206,both,URY,UM
Uzbekistan,1990,,1990-01-01,,1.60000000583702,,,,both,UZB,
Vanuatu,1990,,1990-01-01,112.575244068997,11.6956997985937,4.7594412829797,,19.6924477717639,both,VUT,LM
"Venezuela, RB",1990,31.93282252,1990-01-01,57.7072173831781,6.46794085305808,,,,both,VEN,UM
Viet Nam,1990,,1990-01-01,81.315697940889,5.10091813908369,,,,both,VNM,L
"Yemen, Rep.",1990,26.63623689,1990-01-01,27.6276662296057,,,3.31580583679152,,both,YEM,LM
,1990,,,,,,,,left_only,,
,1990,,,,,,,,left_only,,
Albania,1991,,1991-01-01,36.0705200632829,-28.0021416559099,,,,both,ALB,LM
Algeria,1991,29.94089072,1991-01-01,52.7175867077307,-1.20000058514485,25.8863869348513,19.7039673995908,,both,DZA,LM
Angola,1991,,1991-01-01,,0.991359302044742,83.7837837837838,,,both,AGO,LM
Antigua and Barbuda,1991,21.73568841,1991-01-01,,2.17683300084116,,,,both,ATG,UM
Argentina,1991,11.43220043,1991-01-01,13.7530541588891,9.13311056738961,,,11.2055409345172,both,ARG,UM
Aruba,1991,,1991-01-01,,7.96287173232642,5.55555555555579,,,both,ABW,UM
Australia,1991,38.09328079,1991-01-01,32.1891884083095,-0.382260201054848,3.17667536988685,21.2786397388114,23.1655639343947,both,AUS,H
Austria,1991,52.5870018,1991-01-01,70.3238566862819,3.44162727027033,3.33742703474788,,36.1843390604566,both,AUT,H
Azerbaijan,1991,,1991-01-01,86.8637724550898,-0.700000175699572,,,,both,AZE,LM
"Bahamas, The",1991,11.89044112,1991-01-01,106.118618136001,-4.18178502345002,7.11468120203628,,17.4629398680878,both,BHS,H
Bahrain,1991,29.74837334,1991-01-01,158.867796593681,11.2299987800124,0.764419735927609,,21.7674324148078,both,BHR,UM
Bangladesh,1991,8.862055408,1991-01-01,18.8898268850747,3.48522781598027,6.35736412278234,10.26509496452,,both,BGD,L
Barbados,1991,,1991-01-01,,-3.89990682816453,6.25752663270021,,,both,BRB,UM
Belgium,1991,53.5163002,1991-01-01,118.59013771799,1.83307440779249,3.2153106926081,,,both,BEL,H
Belize,1991,,1991-01-01,79.1324736225088,11.7806767763724,0.76195150080688,,12.6251884106515,both,BLZ,LM
Benin,1991,17.22628426,1991-01-01,51.3447168355486,4.22579942071668,,9.28908472308183,,both,BEN,L
Bhutan,1991,33.09954892,1991-01-01,75.9729858132023,-0.407875610859293,12.2751729438893,,20.4451090360374,both,BTN,L
Bolivia,1991,24.18092033,1991-01-01,48.444968874686,5.26652666784713,21.4470698171141,,14.5284411457768,both,BOL,LM
Bosnia and Herzegovina,1991,,1991-01-01,,-9.34802499922,,,,both,BIH,
Brazil,1991,,1991-01-01,16.5920777626646,1.03218958549303,432.786661926461,,,both,BRA,UM
Bulgaria,1991,,1991-01-01,82.6823876197494,-8.44535519637161,338.449111470112,17.3669859985262,39.3728813559322,both,BGR,LM
Burkina Faso,1991,16.96855283,1991-01-01,33.7962364263647,9.06998445877436,2.16260052713421,10.9337435567557,,both,BFA,L
Burundi,1991,,1991-01-01,38.4225604772107,4.99683644792125,8.99693873494331,,18.0162153488943,both,BDI,L
Cabo Verde,1991,,1991-01-01,80.9539693096621,1.40414698106899,9.55090741310361,,,both,CPV,LM
Cambodia,1991,,1991-01-01,,7.59129793852107,,,,both,KHM,L
Canada,1991,52.26380157,1991-01-01,49.2234668475419,-2.09105517930676,5.62586408593005,,25.3663221583048,both,CAN,H
Central African Republic,1991,22.6331667,1991-01-01,43.7093216871222,-0.552543005101867,-2.76236280675762,,,both,CAF,L
Chad,1991,,1991-01-01,36.3495413219118,8.53513716647174,3.19387473029498,,,both,TCD,L
Chile,1991,19.89999962,1991-01-01,58.0942936748046,7.80439218636187,21.7844124277756,,17.1281093895472,both,CHL,LM
China,1991,16.64282859,1991-01-01,25.9497241030806,9.26278608516616,3.55668565220452,,,both,CHN,L
Colombia,1991,10.39999962,1991-01-01,33.5299180947153,2.00160759559029,30.3878204854436,,,both,COL,LM
Comoros,1991,19.95309848,1991-01-01,35.7572110361659,-5.39563714860034,,,,both,COM,L
"Congo, Dem. Rep.",1991,,1991-01-01,,-8.42105149913377,2154.43682711341,0.0,17.7314329632407,both,COD,L
"Congo, Rep.",1991,34.08036208,1991-01-01,69.6845429946663,2.39536745255616,-1.67834968956537,18.7589436711331,,both,COG,LM
Costa Rica,1991,19.5114994,1991-01-01,71.4396757036532,2.26565496296193,28.7092913706618,,18.4180042787202,both,CRI,LM
Croatia,1991,,1991-01-01,,-21.0886706622441,122.222222222221,,35.5099679945758,both,HRV,
Cyprus,1991,,1991-01-01,104.179904915897,0.739501197535745,5.03527438848105,,51.9479482041439,both,CYP,H
Czechia,1991,,1991-01-01,70.771227667197,-11.6149423495458,,,,both,CZE,
Cote d'Ivoire,1991,,1991-01-01,56.9978213142969,0.0409251717252914,1.68334849863477,5.12830400670581,,both,,
Denmark,1991,56.07410049,1991-01-01,69.1684762769411,1.45818004243954,2.39515331724415,,36.602007127026,both,DNK,H
Djibouti,1991,27.68229516,1991-01-01,,,,,,both,DJI,LM
Dominica,1991,28.95574863,1991-01-01,,1.34776499973981,5.55706153429132,,,both,DMA,LM
Dominican Republic,1991,8.650529861,1991-01-01,83.09106896203,0.944138889056561,47.079157410536,,5.56082069755707,both,DOM,LM
Ecuador,1991,,1991-01-01,45.196639984556,4.29134246404705,48.718080675219,9.26388693643319,,both,ECU,LM
El Salvador,1991,18.53459601,1991-01-01,47.7534309263615,1.49408756791307,14.4026748806266,12.341895303703,,both,SLV,LM
Equatorial Guinea,1991,284.5164711,1991-01-01,,-1.02223887710288,-3.42528735632201,,,both,GNQ,L
Estonia,1991,,1991-01-01,,-7.99984359444019,,,1.38320676346626,both,EST,UM
Eswatini,1991,19.01562716,1991-01-01,,1.76037634931178,8.93430656934288,,,both,SWZ,LM
Ethiopia,1991,17.32103666,1991-01-01,,-7.13747970027428,35.7225982298715,,12.9519491787331,both,ETH,L
Fiji,1991,,1991-01-01,117.815866797258,-2.70000373096462,6.49734555984545,10.435847208619,23.5788442703232,both,FJI,LM
Finland,1991,56.68,1991-01-01,43.4814124469297,-5.88059616587975,4.31021289843465,,34.4278922563568,both,FIN,H
France,1991,50.69179916,1991-01-01,44.9537001550562,1.23666245973342,3.21340732409687,,40.5185537944694,both,FRA,H
Gabon,1991,25.08368556,1991-01-01,80.5349385481311,6.11250348301178,-11.6861126920888,20.8829416133436,,both,GAB,UM
Georgia,1991,,1991-01-01,59.020160869111,-21.0998508379398,,,,both,GEO,LM
Germany,1991,46.25049973,1991-01-01,47.6354131979568,5.10826148664229,4.04703259753466,,30.9721602653916,both,DEU,H
Ghana,1991,7.638679982,1991-01-01,42.4883492637987,5.28182639834429,18.0314390089849,7.5298791487146,,both,GHA,L
Greece,1991,34.70585655,1991-01-01,37.5415185885243,3.10000006906874,19.4558456445745,,,both,GRC,UM
Grenada,1991,26.83086017,1991-01-01,,1.38554578702994,2.64460367880678,,,both,GRD,LM
Guatemala,1991,,1991-01-01,39.5202562231777,3.65824875006811,33.1664219167534,9.79867270752267,8.15938753149953,both,GTM,LM
Guinea,1991,16.29161411,1991-01-01,41.7787115678445,2.61342300409642,,6.82841049298324,7.74760567127643,both,GIN,L
Guinea-Bissau,1991,9.185966146,1991-01-01,47.7736098789209,5.10000003451967,57.5952847505663,,,both,GNB,L
Guyana,1991,,1991-01-01,222.609089719242,6.05786618530573,,23.9211350921316,,both,GUY,L
Haiti,1991,,1991-01-01,39.8074901808928,1.88054472396281,15.4199073669492,,,both,HTI,L
Honduras,1991,14.00650024,1991-01-01,74.6467338003379,-3.31930842303754,33.9722602535864,,,both,HND,L
"Hong Kong SAR, China",1991,12.80910903,1991-01-01,231.865133953304,5.70197687360756,11.1587982832617,23.2668376431856,,both,HKG,H
Hungary,1991,,1991-01-01,58.3612839104181,-11.8920408618436,34.8175429072704,,49.7553614964355,both,HUN,UM
Iceland,1991,42.84846508,1991-01-01,62.9979896333292,-0.223525548384544,6.80877887943634,,30.6623214757107,both,ISL,H
India,1991,26.80147855,1991-01-01,16.9877265511351,1.05683143496063,13.8702461773683,,15.3389795291726,both,IND,L
Indonesia,1991,15.0376997,1991-01-01,54.8395648805761,6.91198283591309,9.41905827724146,,11.2376247635746,both,IDN,L
"Iran, Islamic Rep.",1991,17.14390636,1991-01-01,44.1941716483403,12.7161484430703,17.1285679434012,,13.2043173455045,both,IRN,LM
Ireland,1991,44.40330124,1991-01-01,106.440231562401,1.9296388996932,3.21081037142378,,37.1248773375602,both,IRL,H
Israel,1991,34.40269852,1991-01-01,56.0870506115982,7.72611530892679,19.1352614665498,,30.3258469499494,both,ISR,H
Italy,1991,53.94340134,1991-01-01,33.8005339555877,1.53844755831634,6.24999929790291,,43.9785676681832,both,ITA,H
Jamaica,1991,20.41363194,1991-01-01,101.598788796013,4.83823875324414,51.0710977304313,18.9436042902464,21.3845952675347,both,JAM,LM
Japan,1991,29.22419937,1991-01-01,17.7594512543168,3.52335723533228,3.25143848753308,,,both,JPN,H
Jordan,1991,44.8953806,1991-01-01,137.261663286004,1.60853107260243,8.15549597855212,,28.9567275185936,both,JOR,LM
Kenya,1991,16.43700728,1991-01-01,55.5976992243654,1.43834679171559,20.0844955754632,,,both,KEN,L
Kiribati,1991,71.45122574,1991-01-01,134.208904249023,-5.64868734598663,,,,both,KIR,LM
"Korea, Rep.",1991,15.38269997,1991-01-01,49.8250791504987,10.7780561268967,9.33279048161495,32.9877256412974,13.1804086998945,both,KOR,UM
Kuwait,1991,204.1701362,1991-01-01,142.612954265862,-41.007790668086,9.05818836232758,,210.205131644358,both,KWT,H
Kyrgyz Republic,1991,,1991-01-01,72.0,-7.94392523772915,,,,both,KGZ,LM
Latvia,1991,,1991-01-01,,-12.5952217915856,,,,both,LVA,UM
Lebanon,1991,35.586532,1991-01-01,92.4546720066934,49.4473791849141,,27.8186220159819,,both,LBN,LM
Lesotho,1991,31.31306827,1991-01-01,,6.96660729603671,17.6781002638523,,29.3815279416424,both,LSO,L
Luxembourg,1991,,1991-01-01,188.663907871345,8.64418802404397,3.11835659874851,,30.2277398465596,both,LUX,H
Madagascar,1991,13.48314876,1991-01-01,35.7567980580415,-6.30635159237733,8.59264760490192,27.2366433794094,,both,MDG,L
Malaysia,1991,27.3931833,1991-01-01,159.311447263255,9.54546741443052,4.358333333333,24.0208993221041,,both,MYS,LM
Maldives,1991,37.70059749,1991-01-01,,1.44269605986374,14.7136770282735,,17.1641791044776,both,MDV,L
Marshall Islands,1991,,1991-01-01,,0.0877993120756031,,,,both,MHL,LM
Mexico,1991,13.90649986,1991-01-01,35.7865351574196,3.97590497138043,22.662359455061,14.6536875774364,13.7726786972721,both,MEX,UM
"Micronesia, Fed. Sts.",1991,,1991-01-01,,7.42734122712594,,,,both,FSM,LM
Moldova,1991,,1991-01-01,,-16.0000002715149,,,,both,MDA,LM
Mongolia,1991,46.03274383,1991-01-01,136.6037874065,-8.69354473126558,,,,both,MNG,LM
Morocco,1991,20.79830773,1991-01-01,49.7792954766494,7.21608815359085,7.98616600790512,,17.334293917278,both,MAR,LM
Mozambique,1991,18.3883348,1991-01-01,49.4808133334293,4.92545125368862,,,,both,MOZ,L
Myanmar,1991,,1991-01-01,,-0.650616908622624,32.2720382866416,,,both,MMR,L
Namibia,1991,33.01193362,1991-01-01,93.8647252200558,8.16561250262779,,,30.1282125103838,both,NAM,LM
Netherlands,1991,54.94010162,1991-01-01,105.194616821176,2.43913444701489,3.15820041477122,,45.6633753865272,both,NLD,H
New Zealand,1991,53.01565857,1991-01-01,54.6355654428897,-1.0907246579274,2.60239285999773,,,both,NZL,H
